2026-01-31 22:21:25 | DEBUG    | asyncio | Using proactor: IocpProactor
2026-01-31 22:21:25 | INFO     | __main__ | ============================================================
2026-01-31 22:21:25 | INFO     | __main__ | STARTING PDF PROCESSING TEST
2026-01-31 22:21:25 | INFO     | __main__ | ============================================================
2026-01-31 22:21:25 | INFO     | __main__ | Initializing database...
2026-01-31 22:21:25 | DEBUG    | aiosqlite | executing <function connect.<locals>.connector at 0x000001F7BC276980>
2026-01-31 22:21:25 | DEBUG    | aiosqlite | operation <function connect.<locals>.connector at 0x000001F7BC276980> completed
2026-01-31 22:21:25 | DEBUG    | aiosqlite | executing functools.partial(<built-in method create_function of sqlite3.Connection object at 0x000001F7BC2718A0>, 'regexp', 2, <function SQLiteDialect_pysqlite.on_connect.<locals>.regexp at 0x000001F7BC275C60>, deterministic=True)
2026-01-31 22:21:25 | DEBUG    | aiosqlite | operation functools.partial(<built-in method create_function of sqlite3.Connection object at 0x000001F7BC2718A0>, 'regexp', 2, <function SQLiteDialect_pysqlite.on_connect.<locals>.regexp at 0x000001F7BC275C60>, deterministic=True) completed
2026-01-31 22:21:25 | DEBUG    | aiosqlite | executing functools.partial(<built-in method create_function of sqlite3.Connection object at 0x000001F7BC2718A0>, 'floor', 1, <built-in function floor>, deterministic=True)
2026-01-31 22:21:25 | DEBUG    | aiosqlite | operation functools.partial(<built-in method create_function of sqlite3.Connection object at 0x000001F7BC2718A0>, 'floor', 1, <built-in function floor>, deterministic=True) completed
2026-01-31 22:21:25 | DEBUG    | aiosqlite | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001F7BC2718A0>)
2026-01-31 22:21:25 | DEBUG    | aiosqlite | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001F7BC2718A0>) completed
2026-01-31 22:21:25 | DEBUG    | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001F7BC269540>, 'PRAGMA read_uncommitted', [])
2026-01-31 22:21:25 | DEBUG    | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001F7BC269540>, 'PRAGMA read_uncommitted', []) completed
2026-01-31 22:21:25 | DEBUG    | aiosqlite | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001F7BC269540>)
2026-01-31 22:21:25 | DEBUG    | aiosqlite | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001F7BC269540>) completed
2026-01-31 22:21:25 | DEBUG    | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001F7BC269540>)
2026-01-31 22:21:25 | DEBUG    | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001F7BC269540>) completed
2026-01-31 22:21:25 | DEBUG    | aiosqlite | executing functools.partial(<built-in method rollback of sqlite3.Connection object at 0x000001F7BC2718A0>)
2026-01-31 22:21:25 | DEBUG    | aiosqlite | operation functools.partial(<built-in method rollback of sqlite3.Connection object at 0x000001F7BC2718A0>) completed
2026-01-31 22:21:25 | INFO     | sqlalchemy.engine.Engine | BEGIN (implicit)
2026-01-31 22:21:25 | INFO     | sqlalchemy.engine.Engine | PRAGMA main.table_info("datasheets")
2026-01-31 22:21:25 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2026-01-31 22:21:25 | DEBUG    | aiosqlite | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001F7BC2718A0>)
2026-01-31 22:21:25 | DEBUG    | aiosqlite | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001F7BC2718A0>) completed
2026-01-31 22:21:25 | DEBUG    | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001F7BC269A40>, 'PRAGMA main.table_info("datasheets")', ())
2026-01-31 22:21:25 | DEBUG    | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001F7BC269A40>, 'PRAGMA main.table_info("datasheets")', ()) completed
2026-01-31 22:21:25 | DEBUG    | aiosqlite | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001F7BC269A40>)
2026-01-31 22:21:25 | DEBUG    | aiosqlite | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001F7BC269A40>) completed
2026-01-31 22:21:25 | DEBUG    | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001F7BC269A40>)
2026-01-31 22:21:25 | DEBUG    | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001F7BC269A40>) completed
2026-01-31 22:21:25 | INFO     | sqlalchemy.engine.Engine | PRAGMA main.table_info("datasheet_revisions")
2026-01-31 22:21:25 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2026-01-31 22:21:25 | DEBUG    | aiosqlite | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001F7BC2718A0>)
2026-01-31 22:21:25 | DEBUG    | aiosqlite | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001F7BC2718A0>) completed
2026-01-31 22:21:25 | DEBUG    | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001F7BC269A40>, 'PRAGMA main.table_info("datasheet_revisions")', ())
2026-01-31 22:21:25 | DEBUG    | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001F7BC269A40>, 'PRAGMA main.table_info("datasheet_revisions")', ()) completed
2026-01-31 22:21:25 | DEBUG    | aiosqlite | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001F7BC269A40>)
2026-01-31 22:21:25 | DEBUG    | aiosqlite | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001F7BC269A40>) completed
2026-01-31 22:21:25 | DEBUG    | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001F7BC269A40>)
2026-01-31 22:21:25 | DEBUG    | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001F7BC269A40>) completed
2026-01-31 22:21:25 | INFO     | sqlalchemy.engine.Engine | PRAGMA main.table_info("part_schemas")
2026-01-31 22:21:25 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2026-01-31 22:21:25 | DEBUG    | aiosqlite | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001F7BC2718A0>)
2026-01-31 22:21:25 | DEBUG    | aiosqlite | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001F7BC2718A0>) completed
2026-01-31 22:21:25 | DEBUG    | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001F7BC269A40>, 'PRAGMA main.table_info("part_schemas")', ())
2026-01-31 22:21:25 | DEBUG    | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001F7BC269A40>, 'PRAGMA main.table_info("part_schemas")', ()) completed
2026-01-31 22:21:25 | DEBUG    | aiosqlite | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001F7BC269A40>)
2026-01-31 22:21:25 | DEBUG    | aiosqlite | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001F7BC269A40>) completed
2026-01-31 22:21:25 | DEBUG    | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001F7BC269A40>)
2026-01-31 22:21:25 | DEBUG    | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001F7BC269A40>) completed
2026-01-31 22:21:25 | INFO     | sqlalchemy.engine.Engine | PRAGMA main.table_info("spec_fields")
2026-01-31 22:21:25 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2026-01-31 22:21:25 | DEBUG    | aiosqlite | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001F7BC2718A0>)
2026-01-31 22:21:25 | DEBUG    | aiosqlite | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001F7BC2718A0>) completed
2026-01-31 22:21:25 | DEBUG    | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001F7BC269A40>, 'PRAGMA main.table_info("spec_fields")', ())
2026-01-31 22:21:25 | DEBUG    | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001F7BC269A40>, 'PRAGMA main.table_info("spec_fields")', ()) completed
2026-01-31 22:21:25 | DEBUG    | aiosqlite | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001F7BC269A40>)
2026-01-31 22:21:25 | DEBUG    | aiosqlite | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001F7BC269A40>) completed
2026-01-31 22:21:25 | DEBUG    | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001F7BC269A40>)
2026-01-31 22:21:25 | DEBUG    | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001F7BC269A40>) completed
2026-01-31 22:21:25 | INFO     | sqlalchemy.engine.Engine | PRAGMA main.table_info("part_variants")
2026-01-31 22:21:25 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2026-01-31 22:21:25 | DEBUG    | aiosqlite | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001F7BC2718A0>)
2026-01-31 22:21:25 | DEBUG    | aiosqlite | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001F7BC2718A0>) completed
2026-01-31 22:21:25 | DEBUG    | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001F7BC269A40>, 'PRAGMA main.table_info("part_variants")', ())
2026-01-31 22:21:25 | DEBUG    | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001F7BC269A40>, 'PRAGMA main.table_info("part_variants")', ()) completed
2026-01-31 22:21:25 | DEBUG    | aiosqlite | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001F7BC269A40>)
2026-01-31 22:21:25 | DEBUG    | aiosqlite | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001F7BC269A40>) completed
2026-01-31 22:21:25 | DEBUG    | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001F7BC269A40>)
2026-01-31 22:21:25 | DEBUG    | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001F7BC269A40>) completed
2026-01-31 22:21:25 | INFO     | sqlalchemy.engine.Engine | PRAGMA main.table_info("distributor_listings")
2026-01-31 22:21:25 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2026-01-31 22:21:25 | DEBUG    | aiosqlite | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001F7BC2718A0>)
2026-01-31 22:21:25 | DEBUG    | aiosqlite | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001F7BC2718A0>) completed
2026-01-31 22:21:25 | DEBUG    | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001F7BC269A40>, 'PRAGMA main.table_info("distributor_listings")', ())
2026-01-31 22:21:25 | DEBUG    | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001F7BC269A40>, 'PRAGMA main.table_info("distributor_listings")', ()) completed
2026-01-31 22:21:25 | DEBUG    | aiosqlite | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001F7BC269A40>)
2026-01-31 22:21:25 | DEBUG    | aiosqlite | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001F7BC269A40>) completed
2026-01-31 22:21:25 | DEBUG    | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001F7BC269A40>)
2026-01-31 22:21:25 | DEBUG    | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001F7BC269A40>) completed
2026-01-31 22:21:25 | INFO     | sqlalchemy.engine.Engine | COMMIT
2026-01-31 22:21:25 | DEBUG    | aiosqlite | executing functools.partial(<built-in method commit of sqlite3.Connection object at 0x000001F7BC2718A0>)
2026-01-31 22:21:25 | DEBUG    | aiosqlite | operation functools.partial(<built-in method commit of sqlite3.Connection object at 0x000001F7BC2718A0>) completed
2026-01-31 22:21:25 | DEBUG    | aiosqlite | executing functools.partial(<built-in method rollback of sqlite3.Connection object at 0x000001F7BC2718A0>)
2026-01-31 22:21:25 | DEBUG    | aiosqlite | operation functools.partial(<built-in method rollback of sqlite3.Connection object at 0x000001F7BC2718A0>) completed
2026-01-31 22:21:25 | INFO     | __main__ | Database initialized
2026-01-31 22:21:25 | INFO     | __main__ | Testing with PDF: 29e8b626-0c40-4c7b-8366-63059fbb36d3_amphenolaerospace_D38999_IIIseriesTV-1157224.pdf
2026-01-31 22:21:25 | INFO     | __main__ | Datasheet ID: 29e8b626-0c40-4c7b-8366-63059fbb36d3
2026-01-31 22:21:26 | DEBUG    | aiosqlite | executing <function connect.<locals>.connector at 0x000001F7BD9A2660>
2026-01-31 22:21:26 | DEBUG    | aiosqlite | operation <function connect.<locals>.connector at 0x000001F7BD9A2660> completed
2026-01-31 22:21:26 | DEBUG    | aiosqlite | executing functools.partial(<built-in method create_function of sqlite3.Connection object at 0x000001F7BD9AC220>, 'regexp', 2, <function SQLiteDialect_pysqlite.on_connect.<locals>.regexp at 0x000001F7BC277F60>, deterministic=True)
2026-01-31 22:21:26 | DEBUG    | aiosqlite | operation functools.partial(<built-in method create_function of sqlite3.Connection object at 0x000001F7BD9AC220>, 'regexp', 2, <function SQLiteDialect_pysqlite.on_connect.<locals>.regexp at 0x000001F7BC277F60>, deterministic=True) completed
2026-01-31 22:21:26 | DEBUG    | aiosqlite | executing functools.partial(<built-in method create_function of sqlite3.Connection object at 0x000001F7BD9AC220>, 'floor', 1, <built-in function floor>, deterministic=True)
2026-01-31 22:21:26 | DEBUG    | aiosqlite | operation functools.partial(<built-in method create_function of sqlite3.Connection object at 0x000001F7BD9AC220>, 'floor', 1, <built-in function floor>, deterministic=True) completed
2026-01-31 22:21:26 | DEBUG    | aiosqlite | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001F7BD9AC220>)
2026-01-31 22:21:26 | DEBUG    | aiosqlite | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001F7BD9AC220>) completed
2026-01-31 22:21:26 | DEBUG    | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001F7BD97F5C0>, 'PRAGMA read_uncommitted', [])
2026-01-31 22:21:26 | DEBUG    | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001F7BD97F5C0>, 'PRAGMA read_uncommitted', []) completed
2026-01-31 22:21:26 | DEBUG    | aiosqlite | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001F7BD97F5C0>)
2026-01-31 22:21:26 | DEBUG    | aiosqlite | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001F7BD97F5C0>) completed
2026-01-31 22:21:26 | DEBUG    | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001F7BD97F5C0>)
2026-01-31 22:21:26 | DEBUG    | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001F7BD97F5C0>) completed
2026-01-31 22:21:26 | DEBUG    | aiosqlite | executing functools.partial(<built-in method rollback of sqlite3.Connection object at 0x000001F7BD9AC220>)
2026-01-31 22:21:26 | DEBUG    | aiosqlite | operation functools.partial(<built-in method rollback of sqlite3.Connection object at 0x000001F7BD9AC220>) completed
2026-01-31 22:21:26 | DEBUG    | aiosqlite | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001F7BD9AC220>)
2026-01-31 22:21:26 | DEBUG    | aiosqlite | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001F7BD9AC220>) completed
2026-01-31 22:21:26 | DEBUG    | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001F7BD97EB40>, 'SELECT datasheets.id, datasheets.name, datasheets.manufacturer, datasheets.part_family, datasheets.version, datasheets.filename, datasheets.file_path, datasheets.file_size, datasheets.status, datasheets.progress_percent, datasheets.progress_message, datasheets.error_message, datasheets.raw_extraction, datasheets.is_deleted, datasheets.is_archived, datasheets.deleted_at, datasheets.created_at, datasheets.updated_at \nFROM datasheets \nWHERE datasheets.id = ?', ('29e8b626-0c40-4c7b-8366-63059fbb36d3',))
2026-01-31 22:21:26 | DEBUG    | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001F7BD97EB40>, 'SELECT datasheets.id, datasheets.name, datasheets.manufacturer, datasheets.part_family, datasheets.version, datasheets.filename, datasheets.file_path, datasheets.file_size, datasheets.status, datasheets.progress_percent, datasheets.progress_message, datasheets.error_message, datasheets.raw_extraction, datasheets.is_deleted, datasheets.is_archived, datasheets.deleted_at, datasheets.created_at, datasheets.updated_at \nFROM datasheets \nWHERE datasheets.id = ?', ('29e8b626-0c40-4c7b-8366-63059fbb36d3',)) completed
2026-01-31 22:21:26 | DEBUG    | aiosqlite | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001F7BD97EB40>)
2026-01-31 22:21:26 | DEBUG    | aiosqlite | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001F7BD97EB40>) completed
2026-01-31 22:21:26 | DEBUG    | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001F7BD97EB40>)
2026-01-31 22:21:26 | DEBUG    | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001F7BD97EB40>) completed
2026-01-31 22:21:26 | DEBUG    | aiosqlite | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001F7BD9AC220>)
2026-01-31 22:21:26 | DEBUG    | aiosqlite | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001F7BD9AC220>) completed
2026-01-31 22:21:26 | DEBUG    | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001F7BD97EB40>, 'UPDATE datasheets SET status=?, progress_percent=?, progress_message=?, updated_at=? WHERE datasheets.id = ?', ('PARSING', 5.0, 'Initializing PDF parser...', '2026-01-31 16:51:26.017039', '29e8b626-0c40-4c7b-8366-63059fbb36d3'))
2026-01-31 22:21:26 | DEBUG    | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001F7BD97EB40>, 'UPDATE datasheets SET status=?, progress_percent=?, progress_message=?, updated_at=? WHERE datasheets.id = ?', ('PARSING', 5.0, 'Initializing PDF parser...', '2026-01-31 16:51:26.017039', '29e8b626-0c40-4c7b-8366-63059fbb36d3')) completed
2026-01-31 22:21:26 | DEBUG    | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001F7BD97EB40>)
2026-01-31 22:21:26 | DEBUG    | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001F7BD97EB40>) completed
2026-01-31 22:21:26 | DEBUG    | aiosqlite | executing functools.partial(<built-in method commit of sqlite3.Connection object at 0x000001F7BD9AC220>)
2026-01-31 22:21:26 | DEBUG    | aiosqlite | operation functools.partial(<built-in method commit of sqlite3.Connection object at 0x000001F7BD9AC220>) completed
2026-01-31 22:21:26 | DEBUG    | aiosqlite | executing functools.partial(<built-in method rollback of sqlite3.Connection object at 0x000001F7BD9AC220>)
2026-01-31 22:21:26 | DEBUG    | aiosqlite | operation functools.partial(<built-in method rollback of sqlite3.Connection object at 0x000001F7BD9AC220>) completed
2026-01-31 22:21:30 | INFO     | services.pdf_parser | Docling import successful
2026-01-31 22:21:30 | INFO     | services.pdf_parser | Creating DocumentConverter with defaults
2026-01-31 22:21:30 | DEBUG    | aiosqlite | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001F7BD9AC220>)
2026-01-31 22:21:30 | DEBUG    | aiosqlite | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001F7BD9AC220>) completed
2026-01-31 22:21:30 | DEBUG    | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001F7DBF6AB40>, 'UPDATE datasheets SET progress_percent=?, progress_message=?, updated_at=? WHERE datasheets.id = ?', (15.0, 'Parsing PDF structure...', '2026-01-31 16:51:30.843138', '29e8b626-0c40-4c7b-8366-63059fbb36d3'))
2026-01-31 22:21:30 | DEBUG    | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001F7DBF6AB40>, 'UPDATE datasheets SET progress_percent=?, progress_message=?, updated_at=? WHERE datasheets.id = ?', (15.0, 'Parsing PDF structure...', '2026-01-31 16:51:30.843138', '29e8b626-0c40-4c7b-8366-63059fbb36d3')) completed
2026-01-31 22:21:30 | DEBUG    | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001F7DBF6AB40>)
2026-01-31 22:21:30 | DEBUG    | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001F7DBF6AB40>) completed
2026-01-31 22:21:30 | DEBUG    | aiosqlite | executing functools.partial(<built-in method commit of sqlite3.Connection object at 0x000001F7BD9AC220>)
2026-01-31 22:21:30 | DEBUG    | aiosqlite | operation functools.partial(<built-in method commit of sqlite3.Connection object at 0x000001F7BD9AC220>) completed
2026-01-31 22:21:30 | DEBUG    | aiosqlite | executing functools.partial(<built-in method rollback of sqlite3.Connection object at 0x000001F7BD9AC220>)
2026-01-31 22:21:30 | DEBUG    | aiosqlite | operation functools.partial(<built-in method rollback of sqlite3.Connection object at 0x000001F7BD9AC220>) completed
2026-01-31 22:21:30 | INFO     | docling.datamodel.document | detected formats: [<InputFormat.PDF: 'pdf'>]
2026-01-31 22:21:30 | INFO     | docling.document_converter | Going to convert document batch...
2026-01-31 22:21:30 | INFO     | docling.document_converter | Initializing pipeline for StandardPdfPipeline with options hash 41faac6ec297655a20396e364a95b08b
2026-01-31 22:21:30 | INFO     | docling.models.factories.base_factory | Loading plugin 'docling_defaults'
2026-01-31 22:21:30 | INFO     | docling.models.factories | Registered picture descriptions: ['vlm', 'api']
2026-01-31 22:21:30 | INFO     | docling.models.factories.base_factory | Loading plugin 'docling_defaults'
2026-01-31 22:21:30 | INFO     | docling.models.factories | Registered ocr engines: ['auto', 'easyocr', 'ocrmac', 'rapidocr', 'tesserocr', 'tesseract']
2026-01-31 22:21:31 | INFO     | docling.models.stages.ocr.auto_ocr_model | rapidocr cannot be used because onnxruntime is not installed.
2026-01-31 22:21:31 | INFO     | docling.models.stages.ocr.auto_ocr_model | easyocr cannot be used because it is not installed.
2026-01-31 22:21:31 | INFO     | docling.utils.accelerator_utils | Accelerator device: 'cpu'
2026-01-31 22:21:31 | INFO     | docling.models.stages.ocr.auto_ocr_model | Auto OCR model selected rapidocr with torch.
2026-01-31 22:21:31 | INFO     | docling.models.factories.base_factory | Loading plugin 'docling_defaults'
2026-01-31 22:21:31 | INFO     | docling.models.factories | Registered layout engines: ['docling_layout_default', 'docling_experimental_table_crops_layout']
2026-01-31 22:21:33 | INFO     | docling.utils.accelerator_utils | Accelerator device: 'cpu'
2026-01-31 22:21:34 | DEBUG    | docling_ibm_models.layoutmodel.layout_predictor | LayoutPredictor settings: {'model_name': 'RTDetrV2ForObjectDetection', 'safe_tensors_file': 'C:\\Users\\kjara\\.cache\\huggingface\\hub\\models--docling-project--docling-layout-heron\\snapshots\\54100edecdceb65a9d8204d2478ac4cc8d4ca68b\\model.safetensors', 'device': 'cpu', 'num_threads': 4, 'image_size': {'height': 640, 'width': 640}, 'threshold': 0.3}
2026-01-31 22:21:34 | INFO     | docling.models.factories.base_factory | Loading plugin 'docling_defaults'
